x, y
-1.3625000000E+00, -2.4875000000E+00 
-1.3375000000E+00, -2.4875000000E+00 
-1.3125000000E+00, -2.4875000000E+00 
-1.2875000000E+00, -2.4875000000E+00 
-1.2625000000E+00, -2.4875000000E+00 
-1.2375000000E+00, -2.4875000000E+00 
-1.2125000000E+00, -2.4875000000E+00 
-1.1875000000E+00, -2.4875000000E+00 
-1.1625000000E+00, -2.4875000000E+00 
-1.1375000000E+00, -2.4875000000E+00 
-1.1125000000E+00, -2.4875000000E+00 
-1.0875000000E+00, -2.4875000000E+00 
-1.0625000000E+00, -2.4875000000E+00 
-1.0375000000E+00, -2.4875000000E+00 
-1.0125000000E+00, -2.4875000000E+00 
-9.8750000000E-01, -2.4875000000E+00 
-9.6250000000E-01, -2.4875000000E+00 
-9.3750000000E-01, -2.4875000000E+00 
-9.1250000000E-01, -2.4875000000E+00 
-8.8750000000E-01, -2.4875000000E+00 
-8.6250000000E-01, -2.4875000000E+00 
-8.3750000000E-01, -2.4875000000E+00 
-8.1250000000E-01, -2.4875000000E+00 
-7.8750000000E-01, -2.4875000000E+00 
-7.6250000000E-01, -2.4875000000E+00 
-7.3750000000E-01, -2.4875000000E+00 
-7.1250000000E-01, -2.4875000000E+00 
-6.8750000000E-01, -2.4875000000E+00 
-6.6250000000E-01, -2.4875000000E+00 
-6.3750000000E-01, -2.4875000000E+00 
-6.1250000000E-01, -2.4875000000E+00 
-5.8750000000E-01, -2.4875000000E+00 
-5.6250000000E-01, -2.4875000000E+00 
-5.3750000000E-01, -2.4875000000E+00 
-5.1250000000E-01, -2.4875000000E+00 
-4.8750000000E-01, -2.4875000000E+00 
-4.6250000000E-01, -2.4875000000E+00 
-4.3750000000E-01, -2.4875000000E+00 
-4.1250000000E-01, -2.4875000000E+00 
-3.8750000000E-01, -2.4875000000E+00 
-3.6250000000E-01, -2.4875000000E+00 
-3.3750000000E-01, -2.4875000000E+00 
-3.1250000000E-01, -2.4875000000E+00 
-2.8750000000E-01, -2.4875000000E+00 
-2.6250000000E-01, -2.4875000000E+00 
-2.3750000000E-01, -2.4875000000E+00 
-2.1250000000E-01, -2.4875000000E+00 
-1.8750000000E-01, -2.4875000000E+00 
-1.6250000000E-01, -2.4875000000E+00 
-1.3750000000E-01, -2.4875000000E+00 
-1.1250000000E-01, -2.4875000000E+00 
-8.7500000000E-02, -2.4875000000E+00 
-6.2500000000E-02, -2.4875000000E+00 
-3.7500000000E-02, -2.4875000000E+00 
-1.2500000000E-02, -2.4875000000E+00 
1.2500000000E-02, -2.4875000000E+00 
3.7500000000E-02, -2.4875000000E+00 
6.2500000000E-02, -2.4875000000E+00 
8.7500000000E-02, -2.4875000000E+00 
1.1250000000E-01, -2.4875000000E+00 
1.3750000000E-01, -2.4875000000E+00 
1.6250000000E-01, -2.4875000000E+00 
1.8750000000E-01, -2.4875000000E+00 
2.1250000000E-01, -2.4875000000E+00 
2.3750000000E-01, -2.4875000000E+00 
2.6250000000E-01, -2.4875000000E+00 
2.8750000000E-01, -2.4875000000E+00 
3.1250000000E-01, -2.4875000000E+00 
3.3750000000E-01, -2.4875000000E+00 
3.6250000000E-01, -2.4875000000E+00 
3.8750000000E-01, -2.4875000000E+00 
4.1250000000E-01, -2.4875000000E+00 
